Component_ID,Lot_ID,Iddq_uA_0h,Iddq_uA_24h,Iddq_uA_96h,Iddq_uA_168h,Leakage_nA_0h,Leakage_nA_24h,Leakage_nA_96h,Leakage_nA_168h,PropDelay_ns_0h,PropDelay_ns_24h,PropDelay_ns_96h,PropDelay_ns_168h,Ground_Truth
COMP_00000,LOT_00,12.580952201715075,12.75398044489878,13.181705982401258,13.678649590040061,564.891921682964,560.5449788242985,572.6305133636598,590.2964458355809,3.286515767604272,3.3188145114999434,3.3486603776244017,3.3570488548491744,Normal
COMP_00001,LOT_00,13.887078895968106,13.640178610978731,13.585030220253058,14.025482636391631,539.2006775220777,536.0302010559436,544.0793005367454,561.3743833627312,3.382894138772778,3.374456417124242,3.341444698256449,3.4297473770997393,Normal
COMP_00002,LOT_00,13.805831444515503,13.885883872026973,14.0925639435172,14.35154216189739,513.1325591881302,500.5683146439579,514.4916724021609,512.516666119189,3.1934237381012247,3.206887346938384,3.2671338933077014,3.2874634329929386,Normal
COMP_00003,LOT_00,13.314193210733777,12.98741722201766,13.240447328950525,12.974882943148918,559.0548183655494,558.0033870568276,563.9772645515362,567.8032701720377,3.2449014075579963,3.2908554125994005,3.3460241679219624,3.4316738334667765,Normal
COMP_00004,LOT_00,12.604720103195381,13.15284946110306,12.993703323950928,12.561317602183978,517.4578409665322,536.0428454484654,553.5196851102913,530.257924086332,3.2247820130618585,3.2472673923664575,3.318688737837867,3.3321407444569626,Normal
COMP_00005,LOT_00,13.662551423253266,13.679122909749916,13.658802848894492,13.167049345558839,524.5380441723178,534.6399577222429,534.3144042630781,526.6566503089095,3.3919293530912675,3.420158848928275,3.4362883105223956,3.45021495935379,Normal
COMP_00006,LOT_00,13.465843450539587,13.42891579765702,13.465349846296206,13.20652247166956,569.9382050992798,564.0923419849213,533.028876865506,579.9542939657034,3.353391293337608,3.3267571974140404,3.3978297578887493,3.4265778847986965,Normal
COMP_00007,LOT_00,13.91030145309975,13.768728969364654,13.20028025033265,13.763813512217833,542.4786796390158,530.8378047365622,548.593463937328,574.6832599986855,3.271089890196072,3.306789986666107,3.3477253969462115,3.389520745415783,Normal
COMP_00008,LOT_00,13.673693834929692,13.736560091280735,14.061253889993983,14.182523220392346,516.0332298832474,525.9444845567554,537.8464462008092,542.1328041662007,3.341986879871488,3.3904285984003266,3.3874483237104447,3.4474308996226766,Normal
COMP_00009,LOT_00,12.690878556975562,13.431988542186795,13.29821207691422,13.496758808414997,558.2593646338654,557.7935622304464,562.6391673936239,575.4901952467643,3.3886305939217314,3.4005401263286608,3.4774836716634008,3.5185635987251076,Normal
COMP_00010,LOT_00,13.52501735634135,13.397599554647918,13.34441024758921,13.570724951693359,525.4561946788932,539.1426240880868,548.2825499834795,574.593787704783,3.359522895345237,3.3054683021728017,3.408795512512919,3.380833825340051,Normal
